`,name,unit,invert,weighting,type,min,max,description,detail,source,year
3.2.6b,Is broadband internet at school/university/TVET institution highly accessible to teachers? (Universities),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.6c,Is broadband internet at school/university/TVET institution highly accessible to teachers? (TVET),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.7,Are community internet access points highly accessible to teachers? (Overall),Numerical score,,0.125,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.7a,Are community internet access points highly accessible to teachers? (Schools),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.7b,Are community internet access points highly accessible to teachers? (Universities),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.7c,Are community internet access points highly accessible to teachers? (TVET),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.8,What is the quality of internet accessible to teachers? (Overall),Numerical score,,0.125,discrete,0,5,"The survey question corresponding to this is: The internet in my school/university/TVET institution is appropriate for the following actions (Please select all that apply)
a. Browsing websites      
b. Watching videos online      
c. Listening to audio online      
d. Downloading video / audio content      
e. Downloading documents (ex: PDF, Word)      
f. None of the above","0 = Low quality
 1 = Suitable for browsing websites
 2 = Suitable for listening to audio online
 3 = Suitable for watching videos online
 4 = Suitable for downloading documents
 5 = Suitable for downloading video / audio content
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.8a,What is the quality of internet accessible to teachers? (Schools),Numerical score,,0.333,discrete,0,5,"The survey question corresponding to this is: The internet in my school/university/TVET institution is appropriate for the following actions (Please select all that apply)
a. Browsing websites      
b. Watching videos online      
c. Listening to audio online      
d. Downloading video / audio content      
e. Downloading documents (ex: PDF, Word)      
f. None of the above","0 = Low quality
 1 = Suitable for browsing websites
 2 = Suitable for listening to audio online
 3 = Suitable for watching videos online
 4 = Suitable for downloading documents
 5 = Suitable for downloading video / audio content
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.8b,What is the quality of internet accessible to teachers? (Universities),Numerical score,,0.333,discrete,0,5,"The survey question corresponding to this is: The internet in my school/university/TVET institution is appropriate for the following actions (Please select all that apply)
a. Browsing websites      
b. Watching videos online      
c. Listening to audio online      
d. Downloading video / audio content      
e. Downloading documents (ex: PDF, Word)      
f. None of the above","0 = Low quality
 1 = Suitable for browsing websites
 2 = Suitable for listening to audio online
 3 = Suitable for watching videos online
 4 = Suitable for downloading documents
 5 = Suitable for downloading video / audio content
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.8c,What is the quality of internet accessible to teachers? (TVET),Numerical score,,0.333,discrete,0,5,"The survey question corresponding to this is: The internet in my school/university/TVET institution is appropriate for the following actions (Please select all that apply)
a. Browsing websites      
b. Watching videos online      
c. Listening to audio online      
d. Downloading video / audio content      
e. Downloading documents (ex: PDF, Word)      
f. None of the above","0 = Low quality
 1 = Suitable for browsing websites
 2 = Suitable for listening to audio online
 3 = Suitable for watching videos online
 4 = Suitable for downloading documents
 5 = Suitable for downloading video / audio content
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.3.1,What system is used to collect and analyse data on students and teachers? (Overall),Numerical score,,0.500,discrete,0,3,"The survey question corresponding to this is: What is the system being used (by the school and government) to collect and analyse data on students and teachers (performance data, attendance records, etc.)?
a. No such data collection system
b. Data needs to be input physically (for e.g., by filling forms)
c. Data needs to be input into the system on a computer/device by someone (teacher or other staff)
d. Data automatically collected through integration with learning platform","0 = No such data collection system
 1 = Data needs to be input physically (for e.g., by filling forms)
 2 = Data needs to be input into the system on a computer/device by someone (teacher or other staff)
 3 = Data automatically collected through integration with learning platform
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.3.1a,What system is used to collect and analyse data on students and teachers? (Schools),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: What is the system being used (by the school and government) to collect and analyse data on students and teachers (performance data, attendance records, etc.)?
a. No such data collection system
b. Data needs to be input physically (for e.g., by filling forms)
c. Data needs to be input into the system on a computer/device by someone (teacher or other staff)
d. Data automatically collected through integration with learning platform","0 = No such data collection system
 1 = Data needs to be input physically (for e.g., by filling forms)
 2 = Data needs to be input into the system on a computer/device by someone (teacher or other staff)
 3 = Data automatically collected through integration with learning platform
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.3.1b,What system is used to collect and analyse data on students and teachers? (Universities),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: What is the system being used (by the school and government) to collect and analyse data on students and teachers (performance data, attendance records, etc.)?
a. No such data collection system
b. Data needs to be input physically (for e.g., by filling forms)
c. Data needs to be input into the system on a computer/device by someone (teacher or other staff)
d. Data automatically collected through integration with learning platform","0 = No such data collection system
 1 = Data needs to be input physically (for e.g., by filling forms)
 2 = Data needs to be input into the system on a computer/device by someone (teacher or other staff)
 3 = Data automatically collected through integration with learning platform
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.3.1c,What system is used to collect and analyse data on students and teachers? (TVET),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: What is the system being used (by the school and government) to collect and analyse data on students and teachers (performance data, attendance records, etc.)?
a. No such data collection system
b. Data needs to be input physically (for e.g., by filling forms)
c. Data needs to be input into the system on a computer/device by someone (teacher or other staff)
d. Data automatically collected through integration with learning platform","0 = No such data collection system
 1 = Data needs to be input physically (for e.g., by filling forms)
 2 = Data needs to be input into the system on a computer/device by someone (teacher or other staff)
 3 = Data automatically collected through integration with learning platform
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.3.2,% teachers that receive IT support (Overall),%,,0.500,continuous,0,100,"The survey question corresponding to this is: Do teachers have IT support at your institution? (IT support is required to troubleshoot issues related to IT equipment and software)
a. No, IT tasks are undertaken by teachers themselves
b. Yes, there is IT staff that supports teachers","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.3.2a,% teachers that receive IT support (Schools),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Do teachers have IT support at your institution? (IT support is required to troubleshoot issues related to IT equipment and software)
a. No, IT tasks are undertaken by teachers themselves
b. Yes, there is IT staff that supports teachers","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.3.2b,% teachers that receive IT support (Universities),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Do teachers have IT support at your institution? (IT support is required to troubleshoot issues related to IT equipment and software)
a. No, IT tasks are undertaken by teachers themselves
b. Yes, there is IT staff that supports teachers","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.3.2c,% teachers that receive IT support (TVET),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Do teachers have IT support at your institution? (IT support is required to troubleshoot issues related to IT equipment and software)
a. No, IT tasks are undertaken by teachers themselves
b. Yes, there is IT staff that supports teachers","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.4.1,% teachers that are part of online communities of practice (Overall),%,,0.500,continuous,0,100,"The survey question corresponding to this is: Are you part of online communities of teachers aimed at sharing and exchanging ideas, experiences and best practices in teaching or EdTech delivery?
a. No
b. Yes","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.4.1a,% teachers that are part of online communities of practice (Schools),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Are you part of online communities of teachers aimed at sharing and exchanging ideas, experiences and best practices in teaching or EdTech delivery?
a. No
b. Yes","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.4.1b,% teachers that are part of online communities of practice (Universities),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Are you part of online communities of teachers aimed at sharing and exchanging ideas, experiences and best practices in teaching or EdTech delivery?
a. No
b. Yes","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.4.1c,% teachers that are part of online communities of practice (TVET),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Are you part of online communities of teachers aimed at sharing and exchanging ideas, experiences and best practices in teaching or EdTech delivery?
a. No
b. Yes","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.4.2,Is there a formal platform to facilitate knowledge sharing among teachers?,Numerical score,,0.500,discrete,0,1,"This indicator assesses the maturity of the digital learning ecosystem for teachers by asking if there exist formal platforms for them to exchange knowledge and best practices that go beyond informal, ad hoc communities (e.g. temporary social media groups)","0=No
1=Yes

Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",EI research,2021
4.1.1,Level of digital literacy among students (Overall),Numerical score,,0.333,discrete,0,7,"The survey question corresponding to this is: What is the level of digital literacy among students? [Please select all that apply]
a. Students can use communication tools (email, messaging, video calling)     
b. Students can store and organise files on a computer
c. Students can complete and submit online assessments
d. Students can browse the internet to find relevant educational content
e. Students can operate productivity applications (ex: MS Office suite)          
f. Students can use collaborative online applications and shared folders (such as Google Drive, Dropbox)
g. Students do not have any of the above digital skills","0 = No digital skills
 1 = Students can use communication tools (email, messaging, video calling)
 2 = Students can store and organise files on a computer
 3 = Students can complete and submit online assessments
 4 = Students can browse the internet to find relevant educational content
 5 = Students can operate productivity applications (ex: MS Office suite)
 6 = Students can use collaborative online applications and shared folders (such as Google Drive, Dropbox)
 7 = Students are familiar with programming languages (ex: C++, Java, Python)
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.1.1a,Level of digital literacy among students (Schools),Numerical score,,0.333,discrete,0,7,"The survey question corresponding to this is: What is the level of digital literacy among students? [Please select all that apply]
a. Students can use communication tools (email, messaging, video calling)     
b. Students can store and organise files on a computer
c. Students can complete and submit online assessments
d. Students can browse the internet to find relevant educational content
e. Students can operate productivity applications (ex: MS Office suite)          
f. Students can use collaborative online applications and shared folders (such as Google Drive, Dropbox)
g. Students do not have any of the above digital skills","0 = No digital skills
 1 = Students can use communication tools (email, messaging, video calling)
 2 = Students can store and organise files on a computer
 3 = Students can complete and submit online assessments
 4 = Students can browse the internet to find relevant educational content
 5 = Students can operate productivity applications (ex: MS Office suite)
 6 = Students can use collaborative online applications and shared folders (such as Google Drive, Dropbox)
 7 = Students are familiar with programming languages (ex: C++, Java, Python)
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.1.1b,Level of digital literacy among students (Universities),Numerical score,,0.333,discrete,0,7,"The survey question corresponding to this is: What is the level of digital literacy among students? [Please select all that apply]
a. Students can use communication tools (email, messaging, video calling)     
b. Students can store and organise files on a computer
c. Students can complete and submit online assessments
d. Students can browse the internet to find relevant educational content
e. Students can operate productivity applications (ex: MS Office suite)          
f. Students can use collaborative online applications and shared folders (such as Google Drive, Dropbox)
g. Students do not have any of the above digital skills","0 = No digital skills
 1 = Students can use communication tools (email, messaging, video calling)
 2 = Students can store and organise files on a computer
 3 = Students can complete and submit online assessments
 4 = Students can browse the internet to find relevant educational content
 5 = Students can operate productivity applications (ex: MS Office suite)
 6 = Students can use collaborative online applications and shared folders (such as Google Drive, Dropbox)
 7 = Students are familiar with programming languages (ex: C++, Java, Python)
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.1.1c,Level of digital literacy among students (TVET),Numerical score,,0.333,discrete,0,7,"The survey question corresponding to this is: What is the level of digital literacy among students? [Please select all that apply]
a. Students can use communication tools (email, messaging, video calling)     
b. Students can store and organise files on a computer
c. Students can complete and submit online assessments
d. Students can browse the internet to find relevant educational content
e. Students can operate productivity applications (ex: MS Office suite)          
f. Students can use collaborative online applications and shared folders (such as Google Drive, Dropbox)
g. Students do not have any of the above digital skills","0 = No digital skills
 1 = Students can use communication tools (email, messaging, video calling)
 2 = Students can store and organise files on a computer
 3 = Students can complete and submit online assessments
 4 = Students can browse the internet to find relevant educational content
 5 = Students can operate productivity applications (ex: MS Office suite)
 6 = Students can use collaborative online applications and shared folders (such as Google Drive, Dropbox)
 7 = Students are familiar with programming languages (ex: C++, Java, Python)
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.1.2,Have students been trained to use digital tools required for online education? (Overall),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: Have students been taught or trained to use the digital tools required for online education? (includes online learning platforms, communication tools or other digital tools used by the school for online education)
a. No, most students are unable to use these tools
b. No, but most students are self-taught
c. Yes, students have been taught/trained to use these tools by the school/university/TVET institution","0 = No, most students are unable to use these tools
 1 = No, but most students are self-taught
 2 = Yes, students have been taught/trained to use these tools by the school/university/TVET institution
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.1.2a,Have students been trained to use digital tools required for online education? (Schools),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: Have students been taught or trained to use the digital tools required for online education? (includes online learning platforms, communication tools or other digital tools used by the school for online education)
a. No, most students are unable to use these tools
b. No, but most students are self-taught
c. Yes, students have been taught/trained to use these tools by the school/university/TVET institution","0 = No, most students are unable to use these tools
 1 = No, but most students are self-taught
 2 = Yes, students have been taught/trained to use these tools by the school/university/TVET institution
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.1.2b,Have students been trained to use digital tools required for online education? (Universities),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: Have students been taught or trained to use the digital tools required for online education? (includes online learning platforms, communication tools or other digital tools used by the school for online education)
a. No, most students are unable to use these tools
b. No, but most students are self-taught
c. Yes, students have been taught/trained to use these tools by the school/university/TVET institution","0 = No, most students are unable to use these tools
 1 = No, but most students are self-taught
 2 = Yes, students have been taught/trained to use these tools by the school/university/TVET institution
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.1.2c,Have students been trained to use digital tools required for online education? (TVET),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: Have students been taught or trained to use the digital tools required for online education? (includes online learning platforms, communication tools or other digital tools used by the school for online education)
a. No, most students are unable to use these tools
b. No, but most students are self-taught
c. Yes, students have been taught/trained to use these tools by the school/university/TVET institution","0 = No, most students are unable to use these tools
 1 = No, but most students are self-taught
 2 = Yes, students have been taught/trained to use these tools by the school/university/TVET institution
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.1.3,"Do students receive data privacy, ethics and safety training? (Overall)",Numerical score,,0.333,discrete,0,4,"The survey question corresponding to this is: What do you teach your students regarding digital safety, privacy and ethics while using EdTech? [Please select all that apply]
a. Using antivirus / malware programs 
b. Managing privacy settings
c. Ethical and socially responsible online behaviour (examples of unethical behaviour include plagiarism or cheating, impersonation, stealing, unauthorised access to devices or information)     
d. Protecting sensitive personal data
e. Protection against cyber bullying and cyber crimes 
f. None of the above","0 = No, students don't receive any of the below trainings
 1 = Students receive at least one training
 2 = Students receive at least two trainings
 3 = Students receive at least three trainings
 4 = Students receive more than three trainings
 
 Trainings include:
 a. Using antivirus / malware programs 
 b. Managing privacy settings
 c. Ethical and socially responsible online behaviour (examples of unethical behaviour include plagiarism or cheating, impersonation, stealing, unauthorised access to devices or information) 
 d. Protecting sensitive personal data
 e. Protection against cyber bullying and cyber crimes 
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.1.3a,"Do students receive data privacy, ethics and safety training? (Schools)",Numerical score,,0.333,discrete,0,4,"The survey question corresponding to this is: What do you teach your students regarding digital safety, privacy and ethics while using EdTech? [Please select all that apply]
a. Using antivirus / malware programs 
b. Managing privacy settings
c. Ethical and socially responsible online behaviour (examples of unethical behaviour include plagiarism or cheating, impersonation, stealing, unauthorised access to devices or information)     
d. Protecting sensitive personal data
e. Protection against cyber bullying and cyber crimes 
f. None of the above","0 = No, students don't receive any of the below trainings
 1 = Students receive at least one training
 2 = Students receive at least two trainings
 3 = Students receive at least three trainings
 4 = Students receive more than three trainings
 
 Trainings include:
 a. Using antivirus / malware programs 
 b. Managing privacy settings
 c. Ethical and socially responsible online behaviour (examples of unethical behaviour include plagiarism or cheating, impersonation, stealing, unauthorised access to devices or information) 
 d. Protecting sensitive personal data
 e. Protection against cyber bullying and cyber crimes 
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.1.3b,"Do students receive data privacy, ethics and safety training? (Universities)",Numerical score,,0.333,discrete,0,4,"The survey question corresponding to this is: What do you teach your students regarding digital safety, privacy and ethics while using EdTech? [Please select all that apply]
a. Using antivirus / malware programs 
b. Managing privacy settings
c. Ethical and socially responsible online behaviour (examples of unethical behaviour include plagiarism or cheating, impersonation, stealing, unauthorised access to devices or information)     
d. Protecting sensitive personal data
e. Protection against cyber bullying and cyber crimes 
f. None of the above","0 = No, students don't receive any of the below trainings
 1 = Students receive at least one training
 2 = Students receive at least two trainings
 3 = Students receive at least three trainings
 4 = Students receive more than three trainings
 
 Trainings include:
 a. Using antivirus / malware programs 
 b. Managing privacy settings
 c. Ethical and socially responsible online behaviour (examples of unethical behaviour include plagiarism or cheating, impersonation, stealing, unauthorised access to devices or information) 
 d. Protecting sensitive personal data
 e. Protection against cyber bullying and cyber crimes 
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.1.3c,"Do students receive data privacy, ethics and safety training? (TVET)",Numerical score,,0.333,discrete,0,4,"The survey question corresponding to this is: What do you teach your students regarding digital safety, privacy and ethics while using EdTech? [Please select all that apply]
a. Using antivirus / malware programs 
b. Managing privacy settings
c. Ethical and socially responsible online behaviour (examples of unethical behaviour include plagiarism or cheating, impersonation, stealing, unauthorised access to devices or information)     
d. Protecting sensitive personal data
e. Protection against cyber bullying and cyber crimes 
f. None of the above","0 = No, students don't receive any of the below trainings
 1 = Students receive at least one training
 2 = Students receive at least two trainings
 3 = Students receive at least three trainings
 4 = Students receive more than three trainings
 
 Trainings include:
 a. Using antivirus / malware programs 
 b. Managing privacy settings
 c. Ethical and socially responsible online behaviour (examples of unethical behaviour include plagiarism or cheating, impersonation, stealing, unauthorised access to devices or information) 
 d. Protecting sensitive personal data
 e. Protection against cyber bullying and cyber crimes 
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.1,% students that have access to a computer or laptop at home (Overall),%,,0.250,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do most students have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. None
g. Not sure","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
4.2.1a,% students that have access to a computer or laptop at home (Schools),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do most students have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. None
g. Not sure","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
