SeriesID,SeriesCode,ParentCode,Depth,HasData,IsDependent,IndexNumber,IndicatorName,Unit,Source,Description,Notes,Minimum,Maximum,Pre_Round,Polarity,ScoringSystem,ScoringParameter_1,ScoringParameter_2,ScoringParameter_3,Data_Type,DP,ZERO,ONE,TWO,THREE,FOUR,FIVE,SIX,DP,NumberedSeries,NumberFormat,Children,Parent,ScoreSummary,ScoreExplanation,Qual_Key,IndicatorTypeDescription,,DEFAULT_WEIGHT_NOMINAL,DEFAULT_WEIGHT_PERCENT
44,QLIE,RELEVANCE_02,3,1,0,3.2.1,e-Finance content,"Qualitative rating 0-2, 2=best",EIU,Does the largest retail banking institution offer online banking services?,"Assesses whether online banking services are offered by the largest retail bank by number of customers (retail and corporate). Online banking services must include, at a minimum, account access to view balances and transactions. In this question, Online is synonymous with mobile.",0,2,Yes,1,3,0,2,,2,0,"No, the largest retail banking institution does not offer online banking services","Yes, the largest retail banking institution does offer basic online banking services","Yes, the largest retail banking institution does offer basic and advanced online banking services",,,,,,3.2.1) e-Finance content,"#,##0",3.2.1) e-Finance content{NL}3.2.2) {POTENTIAL NEW INDICATOR FROM SURVEY}{NL}3.2.3) e-Health content{NL}3.2.4) {POTENTIAL NEW INDICATOR FROM SURVEY}{NL}3.2.5) E-ENTERTAINMENT CONTENT{NL}3.2.6) e-Commerce content{NL}3.2.7) {POTENTIAL NEW INDICATOR FROM SURVEY}{NL},RELEVANCE -> RELEVANT CONTENT,,"QUALITATIVE DATA INDICATOR{NL}{NL}Does the largest retail banking institution offer online banking services?{NL}{NL}Assesses whether online banking services are offered by the largest retail bank by number of customers (retail and corporate). Online banking services must include, at a minimum, account access to view balances and transactions. In this question, Online is synonymous with mobile.{NL}{NL}UNDERLYING DATA SERIES{NL}e-Finance content, Qualitative rating 0-2, 2=best{NL}{NL}0 = No, the largest retail banking institution does not offer online banking services{NL}1 = Yes, the largest retail banking institution does offer basic online banking services{NL}2 = Yes, the largest retail banking institution does offer basic and advanced online banking services{NL}{NL}SOURCE{NL}EIU",,QUALITATIVE DATA INDICATOR,,1,0.166666667
45,SUR6,RELEVANCE_02,3,1,0,3.2.2,Value of e-finance,%,EIU,Which of the following forms of useful information have you accessed via the internet at least once in the last year?,Ranked by responses indicating 'Information about personal finance',16,86,Yes,1,2,,,,1,1,,,,,,,,,3.2.2) Value of e-finance,"#,0.0",3.2.1) e-Finance content{NL}3.2.2) Value of e-finance{NL}3.2.3) e-Health content{NL}3.2.4) Value of e-health{NL}3.2.5) e-Entertainment usage{NL}3.2.6) e-Commerce content{NL}3.2.7) Value of the Internet for e-commerce{NL},RELEVANCE -> RELEVANT CONTENT,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Which of the following forms of useful information have you accessed via the internet at least once in the last year?{NL}{NL}Ranked by responses indicating 'Information about personal finance'{NL}{NL}UNDERLYING DATA SERIES{NL}Value of e-finance, %{NL}{NL}SOURCE{NL}EIU",,QUANTITATIVE DATA INDICATOR,,0.5,0.083333333
46,QLHL,RELEVANCE_02,3,1,0,3.2.3,e-Health content,"Qualitative rating 0-3, 3=best",EIU,Does the Ministry of Health in the country have a website that provides information or links to information regarding healthcare?,"Assesses the existence of online healthcare information, and whether e-Health services are provided online (eg, the ability to sign up for insurance, search for a doctor, etc). Healthcare information topics may include: vaccinations and immunizations, tobacco free living; preventing drug and alcohol abuse; healthy lifestyles; reproductive health; mental and emotional well-being.

Note: This indicator was updated in the fourth edition. Whereas the indicator previously assessed availability of information on _disease prevention and wellness_, it now assesses availability of information _regarding healthcare_ and also includes an additional assessment of e-Health services provision.",0,3,NO,1,3,0,3,,2,0,"No, the Ministry of Health does not have a website","Yes, the Ministry of Health has a website that provides limited information and/or links to information regarding healthcare","Yes, the Ministry of Health has a website that provides information and/or links to information regarding healthcare","Yes, the Ministry of Health has a website that provides information and/or links to information regarding healthcare and also offers e-Health services (eg, insurance enrolment, healthcare provider search, interactive mobile app)",,,,,3.2.3) e-Health content,"#,##0",,RELEVANCE -> RELEVANT CONTENT,,"QUALITATIVE DATA INDICATOR{NL}{NL}Does the Ministry of Health in the country have a website that provides information or links to information regarding healthcare?{NL}{NL}Assesses the existence of online healthcare information, and whether e-Health services are provided online (eg, the ability to sign up for insurance, search for a doctor, etc). Healthcare information topics may include: vaccinations and immunizations, tobacco free living; preventing drug and alcohol abuse; healthy lifestyles; reproductive health; mental and emotional well-being.

Note: This indicator was updated in the fourth edition. Whereas the indicator previously assessed availability of information on _disease prevention and wellness_, it now assesses availability of information _regarding healthcare_ and also includes an additional assessment of e-Health services provision.{NL}{NL}UNDERLYING DATA SERIES{NL}e-Health content, Qualitative rating 0-3, 3=best{NL}{NL}0 = No, the Ministry of Health does not have a website{NL}1 = Yes, the Ministry of Health has a website that provides limited information and/or links to information regarding healthcare{NL}2 = Yes, the Ministry of Health has a website that provides information and/or links to information regarding healthcare{NL}3 = Yes, the Ministry of Health has a website that provides information and/or links to information regarding healthcare and also offers e-Health services (eg, insurance enrolment, healthcare provider search, interactive mobile app){NL}{NL}SOURCE{NL}EIU",,QUALITATIVE DATA INDICATOR,,1,0.166666667
47,SUR7,RELEVANCE_02,3,1,0,3.2.4,Value of e-health,%,EIU,Which of the following forms of useful information have you accessed via the internet at least once in the last year?,Ranked by responses indicating 'Information about health and fitness',32,88,Yes,1,2,,,,1,1,,,,,,,,,3.2.4) Value of e-health,"#,0.0",,RELEVANCE -> RELEVANT CONTENT,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Which of the following forms of useful information have you accessed via the internet at least once in the last year?{NL}{NL}Ranked by responses indicating 'Information about health and fitness'{NL}{NL}UNDERLYING DATA SERIES{NL}Value of e-health, %{NL}{NL}SOURCE{NL}EIU",,QUANTITATIVE DATA INDICATOR,,0.5,0.083333333
48,SUR1,RELEVANCE_02,3,1,0,3.2.5,e-Entertainment usage,%,EIU,How often do you use the internet for entertainment purposes?,"Ranked by responses indicating 'Several times a day', 'Every day' and 'Several times a week'",80,100,Yes,1,2,,,,1,1,,,,,,,,,3.2.5) e-Entertainment usage,"#,0.0",,RELEVANCE -> RELEVANT CONTENT,,"QUANTITATIVE DATA INDICATOR{NL}{NL}How often do you use the internet for entertainment purposes?{NL}{NL}Ranked by responses indicating 'Several times a day', 'Every day' and 'Several times a week'{NL}{NL}UNDERLYING DATA SERIES{NL}e-Entertainment usage, %{NL}{NL}SOURCE{NL}EIU",,QUANTITATIVE DATA INDICATOR,,0.5,0.083333333
49,ECOM,RELEVANCE_02,3,1,0,3.2.6,e-Commerce content,"Score of 0-100, 100=best",EIU; UNCTAD,"Seeks to measure the availability _ and extent of _ electronic commerce (e-commerce) in the country, which can serve both as a service to buy products but also to sell them.","Greater availability of online services is generally seen as improving chances for adoption.

Note: This indicator is based on the B2C E-Commerce Index, developed by UNCTAD. Given changes to the B2C E-Commerce Index over time (e.g., addition or removal of countries from year to year), scores for countries may not be directly comparable between different iterations. As a result, YoY comparisons for this indicator are not available in the Inclusive Internet Index.",9,96.4,NO,1,2,0,100,,1,1,,,,,,,,,3.2.6) e-Commerce content,"#,0.0",,RELEVANCE -> RELEVANT CONTENT,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Seeks to measure the availability _ and extent of _ electronic commerce (e-commerce) in the country, which can serve both as a service to buy products but also to sell them.{NL}{NL}Greater availability of online services is generally seen as improving chances for adoption.

Note: This indicator is based on the B2C E-Commerce Index, developed by UNCTAD. Given changes to the B2C E-Commerce Index over time (e.g., addition or removal of countries from year to year), scores for countries may not be directly comparable between different iterations. As a result, YoY comparisons for this indicator are not available in the Inclusive Internet Index.{NL}{NL}UNDERLYING DATA SERIES{NL}e-Commerce content, Score of 0-100, 100=best{NL}{NL}SOURCE{NL}EIU; UNCTAD",,QUANTITATIVE DATA INDICATOR,,1,0.166666667
50,SUR4,RELEVANCE_02,3,1,0,3.2.7,Value of e-Commerce,%,EIU,How often do you purchase goods via the internet?,Ranked by responses indicating 'About once a month',34,96,Yes,1,2,,,,1,1,,,,,,,,,3.2.7) Value of e-Commerce,"#,0.0",4.1) LITERACY{NL}4.2) TRUST & SAFETY{NL}4.3) POLICY{NL},RELEVANCE -> RELEVANT CONTENT,,"QUANTITATIVE DATA INDICATOR{NL}{NL}How often do you purchase goods via the internet?{NL}{NL}Ranked by responses indicating 'About once a month'{NL}{NL}UNDERLYING DATA SERIES{NL}Value of e-Commerce, %{NL}{NL}SOURCE{NL}EIU",,QUANTITATIVE DATA INDICATOR,,0.5,0.083333333
51,QLPD,RELEVANCE_02,3,1,0,3.2.8,Open data policies,"Qualitative rating 0-2, 2=best",EIU,Does the government have an open data policy that applies to public sector data?,"Assesses whether the government has a formal open data policy that applies to the public sector (i.e. the government makes public sector data_both public and publicly-funded data_publicly available to the general population), and whether the government has an open data website/platform that centralizes this data. Examples of an open data website/platform include https://www.data.gov/ (United States), https://data.gov.in/ (India), https://datos.gob.ar/ (Argentina).

Note: This indicator was included for the first time in the fourth edition.",0,2,NO_NEW,1,3,0,2,,2,0,"No, the government does not have an open data policy that applies to public sector data","Yes, the government has an open data policy that applies to public sector data but has not developed an open data website/platform","Yes, the government has an open data policy that applies to public sector data and has an open data website/platform",,,,,,3.2.8) Open data policies,"#,##0",4.1) LITERACY{NL}4.2) TRUST & SAFETY{NL}4.3) POLICY{NL},RELEVANCE -> RELEVANT CONTENT,,"QUALITATIVE DATA INDICATOR{NL}{NL}Does the government have an open data policy that applies to public sector data?{NL}{NL}Assesses whether the government has a formal open data policy that applies to the public sector (i.e. the government makes public sector data_both public and publicly-funded data_publicly available to the general population), and whether the government has an open data website/platform that centralizes this data. Examples of an open data website/platform include https://www.data.gov/ (United States), https://data.gov.in/ (India), https://datos.gob.ar/ (Argentina).

Note: This indicator was included for the first time in the fourth edition.{NL}{NL}UNDERLYING DATA SERIES{NL}Open data policies, Qualitative rating 0-2, 2=best{NL}{NL}0 = No, the government does not have an open data policy that applies to public sector data{NL}1 = Yes, the government has an open data policy that applies to public sector data but has not developed an open data website/platform{NL}2 = Yes, the government has an open data policy that applies to public sector data and has an open data website/platform{NL}{NL}SOURCE{NL}EIU",,QUALITATIVE DATA INDICATOR,,1,0.166666667
52,READINESS,OVERALL,1,0,0,4,Readiness,,,"This category examines the capacity to access the Internet, including skills, cultural acceptance, and supporting policy.",,,,,1,1,,,,,1,,,,,,,,,4) READINESS,"#,0.0",4.1) LITERACY{NL}4.2) TRUST & SAFETY{NL}4.3) POLICY{NL},,,"COMPOSITE CATEGORY SCORE{NL}{NL}This category examines the capacity to access the Internet, including skills, cultural acceptance, and supporting policy.{NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}4.1) LITERACY{NL}4.2) TRUST & SAFETY{NL}4.3) POLICY{NL}{NL}{NL}SOURCE{NL}EIU calculation",,COMPOSITE CATEGORY SCORE,,1,0.1
53,READINESS_01,READINESS,2,0,0,4.1,Literacy,,,Literacy measures the level of education and preparedness to use the Internet.,,,,,1,1,,,,,1,,,,,,,,,4.1) LITERACY,"#,0.0",4.1.1) Level of literacy{NL}4.1.2) Educational attainment{NL}4.1.3) Support for digital literacy{NL}4.1.4) Level of web accessibility{NL},READINESS,,COMPOSITE SUB-CATEGORY SCORE{NL}{NL}Literacy measures the level of education and preparedness to use the Internet.{NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}4.1.1) Level of literacy{NL}4.1.2) Educational attainment{NL}4.1.3) Support for digital literacy{NL}4.1.4) Level of web accessibility{NL}{NL}{NL}SOURCE{NL}EIU calculation,,COMPOSITE SUB-CATEGORY SCORE,,1,0.333333333
54,LITA,READINESS_01,3,1,0,4.1.1,Level of literacy,% of population,EIU; Social Indicators of Hong Kong; UNESCO,"Literate population over 15, expressed as a percentage of the total population","Assesses the extent of literacy within countries. In order to use the Internet for useful purposes, such as to read news, access health or educational information, people must have the ability to read. ",41.2,100,Yes,1,2,0,100,,1,1,,,,,,,,,4.1.1) Level of literacy,"#,0.0",4.1.1) Level of literacy{NL}4.1.2) Educational attainment{NL}4.1.3) Support for digital literacy{NL}4.1.4) Level of web accessibility{NL},READINESS -> LITERACY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Literate population over 15, expressed as a percentage of the total population{NL}{NL}Assesses the extent of literacy within countries. In order to use the Internet for useful purposes, such as to read news, access health or educational information, people must have the ability to read. {NL}{NL}UNDERLYING DATA SERIES{NL}Level of literacy, % of population{NL}{NL}SOURCE{NL}EIU; Social Indicators of Hong Kong; UNESCO",,QUANTITATIVE DATA INDICATOR,,1,0.25
55,MYSC,READINESS_01,3,1,0,4.1.2,Educational attainment,Years of schooling,Pew Research Center; UNDP,Mean years of schooling (ISCED 1 or higher),Assesses educational attainment through average years of schooling (ISCED 1 or higher). Many studies show that adoption is higher among highly educated population groups. ,1.6,14.1,Yes,1,2,0,20,,1,1,,,,,,,,,4.1.2) Educational attainment,"#,0.0",,READINESS -> LITERACY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Mean years of schooling (ISCED 1 or higher){NL}{NL}Assesses educational attainment through average years of schooling (ISCED 1 or higher). Many studies show that adoption is higher among highly educated population groups. {NL}{NL}UNDERLYING DATA SERIES{NL}Educational attainment, Years of schooling{NL}{NL}SOURCE{NL}Pew Research Center; UNDP",,QUANTITATIVE DATA INDICATOR,,1,0.25
56,QLIG,READINESS_01,3,1,0,4.1.3,Support for digital literacy,"Qualitative rating 0-3, 3=best",EIU,Does the government have a plan or strategy that addresses digital literacy for students and training for teachers?,"Assesses the existence of a strategy that supports digital literacy whereby the government plan or strategy should address courses in ICT skills, computer science, programming, or other classes where computers are mandatory in the curriculum. The plan or strategy must also address training teachers on ICT skills.",0,3,Yes,1,3,0,3,,2,0,"No, the government does not have a plan or strategy that addresses digital literacy for students and training for teachers","Yes, the government's plan or strategy addresses digital literacy for students, but it does not include training for teachers or the plan is outdated","Yes, the government's plan or strategy is current, addresses digital literacy for students and includes training for teachers","Yes, the government's plan or strategy is current, addresses digital literacy for students and includes training for teachers and is introduced at the primary school level",,,,,4.1.3) Support for digital literacy,"#,##0",4.2.1) Privacy regulations{NL}4.2.2) Trust in online privacy{NL}4.2.3) Trust in Government websites and apps{NL}4.2.4) Trust in Non-government websites and apps{NL}4.2.5) Trust in information from social media{NL}4.2.6) e-Commerce safety{NL},READINESS -> LITERACY,,"QUALITATIVE DATA INDICATOR{NL}{NL}Does the government have a plan or strategy that addresses digital literacy for students and training for teachers?{NL}{NL}Assesses the existence of a strategy that supports digital literacy whereby the government plan or strategy should address courses in ICT skills, computer science, programming, or other classes where computers are mandatory in the curriculum. The plan or strategy must also address training teachers on ICT skills.{NL}{NL}UNDERLYING DATA SERIES{NL}Support for digital literacy, Qualitative rating 0-3, 3=best{NL}{NL}0 = No, the government does not have a plan or strategy that addresses digital literacy for students and training for teachers{NL}1 = Yes, the government's plan or strategy addresses digital literacy for students, but it does not include training for teachers or the plan is outdated{NL}2 = Yes, the government's plan or strategy is current, addresses digital literacy for students and includes training for teachers{NL}3 = Yes, the government's plan or strategy is current, addresses digital literacy for students and includes training for teachers and is introduced at the primary school level{NL}{NL}SOURCE{NL}EIU",,QUALITATIVE DATA INDICATOR,,1,0.25
57,QLIH,READINESS_01,3,1,0,4.1.4,Level of web accessibility,"Qualitative rating 0-4, 4=best",EIU,Does the national government website pass W3C guidelines on web accessibility?,"Assesses whether the main national government website is compliant. People with disabilities, such as sight impairment, may not be able to use websites if they are not accessible and adaptive. Being compliant with W3C guidelines, an international standard, greatly enhances the chance they can use websites.",0,4,Yes,1,3,0,4,,2,0,The national portal fails most tests or could not be tested (an EIII score of 0-69),The national portal fails many tests (an EIII score of 70-84),The national portal fails some tests (an EIII score of 85-94),The national portal fails few tests (an EIII score of 95-99),The national portal fails no tests (an EIII score of 100),,,,4.1.4) Level of web accessibility,"#,##0",4.2.1) Privacy regulations{NL}4.2.2) Trust in online privacy{NL}4.2.3) Trust in Government websites and apps{NL}4.2.4) Trust in Non-government websites and apps{NL}4.2.5) Trust in information from social media{NL}4.2.6) e-Commerce safety{NL}4.2.7) Open data policies{NL},READINESS -> LITERACY,,"QUALITATIVE DATA INDICATOR{NL}{NL}Does the national government website pass W3C guidelines on web accessibility?{NL}{NL}Assesses whether the main national government website is compliant. People with disabilities, such as sight impairment, may not be able to use websites if they are not accessible and adaptive. Being compliant with W3C guidelines, an international standard, greatly enhances the chance they can use websites.{NL}{NL}UNDERLYING DATA SERIES{NL}Level of web accessibility, Qualitative rating 0-4, 4=best{NL}{NL}0 = The national portal fails most tests or could not be tested (an EIII score of 0-69){NL}1 = The national portal fails many tests (an EIII score of 70-84){NL}2 = The national portal fails some tests (an EIII score of 85-94){NL}3 = The national portal fails few tests (an EIII score of 95-99){NL}4 = The national portal fails no tests (an EIII score of 100){NL}{NL}SOURCE{NL}EIU",,QUALITATIVE DATA INDICATOR,,1,0.25
58,READINESS_02,READINESS,2,0,0,4.2,Trust & Safety,,,Trust & Safety measures Internet safety and cultural acceptance of the Internet.,,,,,1,1,,,,,1,,,,,,,,,4.2) TRUST & SAFETY,"#,0.0",4.2.1) Privacy regulations{NL}4.2.2) Trust in online privacy{NL}4.2.3) Trust in Government websites and apps{NL}4.2.4) Trust in Non-government websites and apps{NL}4.2.5) Trust in information from social media{NL}4.2.6) e-Commerce safety{NL},READINESS,,COMPOSITE SUB-CATEGORY SCORE{NL}{NL}Trust & Safety measures Internet safety and cultural acceptance of the Internet.{NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}4.2.1) Privacy regulations{NL}4.2.2) Trust in online privacy{NL}4.2.3) Trust in Government websites and apps{NL}4.2.4) Trust in Non-government websites and apps{NL}4.2.5) Trust in information from social media{NL}4.2.6) e-Commerce safety{NL}{NL}{NL}SOURCE{NL}EIU calculation,,COMPOSITE SUB-CATEGORY SCORE,,1,0.333333333
59,QLII,READINESS_02,3,1,0,4.2.1,Privacy regulations,"Qualitative rating 0-2, 2=best",EIU,Does the country have data protection law(s) and are there legal or financial penalties in place for firms that do not follow the law?,"Lack of clear privacy regulations can limit adoption if users feel their data and personal information is not secure online. Therefore it is important that the country has privacy laws, which enables users to know what is legally acceptable within the country.",0,2,Yes,1,3,0,2,,2,0,"No, the country does not have data protection law(s)","Yes, the country does have data protection law(s) but there are no legal or financial penalties in place for firms that do not follow the law","Yes, the country does have data protection law(s) and there are legal or financial penalties in place for firms that do not follow the law",,,,,,4.2.1) Privacy regulations,"#,##0",4.2.1) Privacy regulations{NL}4.2.2) Trust in online privacy{NL}4.2.3) Trust in Government websites and apps{NL}4.2.4) Trust in Non-government websites and apps{NL}4.2.5) Trust in information from social media{NL}4.2.6) e-Commerce safety{NL},READINESS -> TRUST & SAFETY,,"QUALITATIVE DATA INDICATOR{NL}{NL}Does the country have data protection law(s) and are there legal or financial penalties in place for firms that do not follow the law?{NL}{NL}Lack of clear privacy regulations can limit adoption if users feel their data and personal information is not secure online. Therefore it is important that the country has privacy laws, which enables users to know what is legally acceptable within the country.{NL}{NL}UNDERLYING DATA SERIES{NL}Privacy regulations, Qualitative rating 0-2, 2=best{NL}{NL}0 = No, the country does not have data protection law(s){NL}1 = Yes, the country does have data protection law(s) but there are no legal or financial penalties in place for firms that do not follow the law{NL}2 = Yes, the country does have data protection law(s) and there are legal or financial penalties in place for firms that do not follow the law{NL}{NL}SOURCE{NL}EIU",,QUALITATIVE DATA INDICATOR,,1,0.285714286
60,SURV,READINESS_02,3,1,0,4.2.2,Trust in online privacy,%,EIU,How confident are you that your activity online is private?,Ranked by responses indicating 'Somewhat confident' and 'Very confident',16,84,Yes,1,2,,,,1,1,,,,,,,,,4.2.2) Trust in online privacy,"#,0.0",,READINESS -> TRUST & SAFETY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}How confident are you that your activity online is private?{NL}{NL}Ranked by responses indicating 'Somewhat confident' and 'Very confident'{NL}{NL}UNDERLYING DATA SERIES{NL}Trust in online privacy, %{NL}{NL}SOURCE{NL}EIU",,QUANTITATIVE DATA INDICATOR,,0.5,0.142857143
61,SUR8,READINESS_02,3,1,0,4.2.3,Trust in Government websites and apps,%,EIU,To what extent do you trust the information you receive from the following sources online? - 'Government websites / apps.' Ranked by responses indicating 'Mostly' and 'Completely',Ranked by responses indicating 'Mostly' and 'Completely',20,78,Yes,1,2,,,,1,1,,,,,,,,,4.2.3) Trust in Government websites and apps,"#,0.0",4.3.1) National female e-inclusion policies{NL}4.3.2) Government e-inclusion strategy{NL}4.3.3) National broadband strategy{NL}4.3.4) Funding for broadband buildout{NL}4.3.5) Spectrum policy approach{NL}4.3.6) National digital identification system{NL},READINESS -> TRUST & SAFETY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}To what extent do you trust the information you receive from the following sources online? - 'Government websites / apps.' Ranked by responses indicating 'Mostly' and 'Completely'{NL}{NL}Ranked by responses indicating 'Mostly' and 'Completely'{NL}{NL}UNDERLYING DATA SERIES{NL}Trust in Government websites and apps, %{NL}{NL}SOURCE{NL}EIU",,QUANTITATIVE DATA INDICATOR,,0.5,0.142857143
62,SUR9,READINESS_02,3,1,0,4.2.4,Trust in Non-government websites and apps,%,EIU,To what extent do you trust the information you receive from the following sources online? - 'Non-government websites / apps that are based in my country.',Ranked by responses indicating 'Mostly' and 'Completely',2,50,Yes,1,2,,,,1,1,,,,,,,,,4.2.4) Trust in Non-government websites and apps,"#,0.0",4.3.1.1) Existence of comprehensive female e-inclusion plan{NL}4.3.1.2) Existence of female digital skills training plan{NL}4.3.1.3) Existence of female STEM education plan{NL}4.3.1.4) Existence of plan addressing female-driven innovation and women-owned businesses{NL},READINESS -> TRUST & SAFETY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}To what extent do you trust the information you receive from the following sources online? - 'Non-government websites / apps that are based in my country.'{NL}{NL}Ranked by responses indicating 'Mostly' and 'Completely'{NL}{NL}UNDERLYING DATA SERIES{NL}Trust in Non-government websites and apps, %{NL}{NL}SOURCE{NL}EIU",,QUANTITATIVE DATA INDICATOR,,0.5,0.142857143
63,SUR0,READINESS_02,3,1,0,4.2.5,Trust in information from social media,%,EIU,To what extent do you trust the information you receive from the following sources online? - 'Other people using social media.' ,Ranked by responses indicating 'Mostly' and 'Completely',8,56,Yes,1,2,,,,1,1,,,,,,,,,4.2.5) Trust in information from social media,"#,0.0",4.3.1) National female e-inclusion policies{NL}4.3.2) Government e-inclusion strategy{NL}4.3.3) National broadband strategy{NL}4.3.4) Funding for broadband buildout{NL}4.3.5) Spectrum policy approach{NL}4.3.6) National digital identification system{NL},READINESS -> TRUST & SAFETY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}To what extent do you trust the information you receive from the following sources online? - 'Other people using social media.' {NL}{NL}Ranked by responses indicating 'Mostly' and 'Completely'{NL}{NL}UNDERLYING DATA SERIES{NL}Trust in information from social media, %{NL}{NL}SOURCE{NL}EIU",,QUANTITATIVE DATA INDICATOR,,0.5,0.142857143
64,SUR5,READINESS_02,3,1,0,4.2.6,e-Commerce safety,%,EIU,To what extent do you agree with the following statements? - 'Making purchases online is safe and secure.',Ranked by responses indicating 'Somewhat agree' and 'Strongly agree',27.1,88,Yes,1,2,,,,1,1,,,,,,,,,4.2.6) e-Commerce safety,"#,0.0",4.3.1) National female e-inclusion policies{NL}4.3.2) Government e-inclusion strategy{NL}4.3.3) National broadband strategy{NL}4.3.4) Funding for broadband buildout{NL}4.3.5) Spectrum policy approach{NL}4.3.6) National digital identification system{NL},READINESS -> TRUST & SAFETY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}To what extent do you agree with the following statements? - 'Making purchases online is safe and secure.'{NL}{NL}Ranked by responses indicating 'Somewhat agree' and 'Strongly agree'{NL}{NL}UNDERLYING DATA SERIES{NL}e-Commerce safety, %{NL}{NL}SOURCE{NL}EIU",,QUANTITATIVE DATA INDICATOR,,0.5,0.142857143
65,READINESS_03,READINESS,2,0,0,4.3,Policy,,,Policy measures the existence of national strategies that promote the safe and widespread use of the Internet.,,,,,1,1,,,,,1,,,,,,,,,4.3) POLICY,"#,0.0",4.3.1) National female e-inclusion policies{NL}4.3.2) Government e-inclusion strategy{NL}4.3.3) National broadband strategy{NL}4.3.4) Funding for broadband buildout{NL}4.3.5) Spectrum policy approach{NL}4.3.6) National digital identification system{NL}4.3.7) Government efforts to promote 5G{NL},READINESS,,COMPOSITE SUB-CATEGORY SCORE{NL}{NL}Policy measures the existence of national strategies that promote the safe and widespread use of the Internet.{NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}4.3.1) National female e-inclusion policies{NL}4.3.2) Government e-inclusion strategy{NL}4.3.3) National broadband strategy{NL}4.3.4) Funding for broadband buildout{NL}4.3.5) Spectrum policy approach{NL}4.3.6) National digital identification system{NL}4.3.7) Government efforts to promote 5G{NL}{NL}{NL}SOURCE{NL}EIU calculation,,COMPOSITE SUB-CATEGORY SCORE,,1,0.333333333
66,QLIN,READINESS_03,3,1,0,4.3.1,National female e-inclusion policies,"Qualitative rating 0-4, 4=best",EIU,"This indicator is composed of three sub-indicators:
1. Does the government have an active plan or strategy to promote Internet access and e-inclusion for females? (Scored 0-2)
2. Does the government have an action plan to provide digital skills training for women? (Scored 0-1)
3. Does the government set targets for women and girls to study STEM? (Scored 0-1)","Assesses whether strategies addressing e-inclusion of females exist that help address gender digital divides. The indicator examines whether e-inclusion strategies exist that address 1) female Internet access and adoption, 2) digital skills, and 3) encourage STEM education",0,4,Yes,1,5,0,4,,2,0,Scores 0/4,Scores 1/4,Scores 2/4,Scores 3/4,Scores 4/4,,,,4.3.1) National female e-inclusion policies,"#,##0",4.3.1) National female e-inclusion policies{NL}4.3.2) Government e-inclusion strategy{NL}4.3.3) National broadband strategy{NL}4.3.4) Funding for broadband buildout{NL}4.3.5) Spectrum policy approach{NL}4.3.6) National digital identification system{NL},READINESS -> POLICY,,"QUALITATIVE DATA INDICATOR{NL}{NL}This indicator is composed of three sub-indicators:
1. Does the government have an active plan or strategy to promote Internet access and e-inclusion for females? (Scored 0-2)
2. Does the government have an action plan to provide digital skills training for women? (Scored 0-1)
3. Does the government set targets for women and girls to study STEM? (Scored 0-1){NL}{NL}Assesses whether strategies addressing e-inclusion of females exist that help address gender digital divides. The indicator examines whether e-inclusion strategies exist that address 1) female Internet access and adoption, 2) digital skills, and 3) encourage STEM education{NL}{NL}UNDERLYING DATA SERIES{NL}National female e-inclusion policies, Qualitative rating 0-4, 4=best{NL}{NL}0 = Scores 0/4{NL}1 = Scores 1/4{NL}2 = Scores 2/4{NL}3 = Scores 3/4{NL}4 = Scores 4/4{NL}{NL}SOURCE{NL}EIU",,QUALITATIVE DATA INDICATOR,,1,0.153846154
